"","MUNICIPIO","iteracion","ranking"
"1","Tepeji Del Rio De Ocampo","Ks,0",3
"2","Tepeji Del Rio De Ocampo","Ks,2",3
"3","Tepeji Del Rio De Ocampo","Ks,4",2
"4","Tepeji Del Rio De Ocampo","Ks,6",1
"5","Tepeji Del Rio De Ocampo","Ks,8",1
"6","Tepeji Del Rio De Ocampo","Ks,10",1
"7","Tepeji Del Rio De Ocampo","Ks,12",1
"8","Tepeji Del Rio De Ocampo","Ks,14",1
"9","Tepeji Del Rio De Ocampo","Ks,16",1
"10","Tepeji Del Rio De Ocampo","Ks,18",1
"11","Tepeji Del Rio De Ocampo","Ks,20",1
"12","Tepeji Del Rio De Ocampo","Ks,22",1
"13","Tepeji Del Rio De Ocampo","Ks,24",1
"14","Tepeji Del Rio De Ocampo","Ks,26",1
"15","Atitalaquia","Ks,0",5
"16","Atitalaquia","Ks,2",5
"17","Atitalaquia","Ks,4",5
"18","Atitalaquia","Ks,6",4
"19","Atitalaquia","Ks,8",3
"20","Atitalaquia","Ks,10",2
"21","Atitalaquia","Ks,12",2
"22","Atitalaquia","Ks,14",2
"23","Atitalaquia","Ks,16",2
"24","Atitalaquia","Ks,18",2
"25","Atitalaquia","Ks,20",2
"26","Atitalaquia","Ks,22",2
"27","Atitalaquia","Ks,24",2
"28","Atitalaquia","Ks,26",2
"29","Tepeapulco","Ks,0",7
"30","Tepeapulco","Ks,2",8
"31","Tepeapulco","Ks,4",11
"32","Tepeapulco","Ks,6",11
"33","Tepeapulco","Ks,8",8
"34","Tepeapulco","Ks,10",7
"35","Tepeapulco","Ks,12",6
"36","Tepeapulco","Ks,14",6
"37","Tepeapulco","Ks,16",6
"38","Tepeapulco","Ks,18",6
"39","Tepeapulco","Ks,20",5
"40","Tepeapulco","Ks,22",5
"41","Tepeapulco","Ks,24",3
"42","Tepeapulco","Ks,26",3
"43","Tizayuca","Ks,0",2
"44","Tizayuca","Ks,2",1
"45","Tizayuca","Ks,4",1
"46","Tizayuca","Ks,6",2
"47","Tizayuca","Ks,8",2
"48","Tizayuca","Ks,10",3
"49","Tizayuca","Ks,12",3
"50","Tizayuca","Ks,14",3
"51","Tizayuca","Ks,16",3
"52","Tizayuca","Ks,18",3
"53","Tizayuca","Ks,20",3
"54","Tizayuca","Ks,22",3
"55","Tizayuca","Ks,24",4
"56","Tizayuca","Ks,26",4
"57","Mineral De La Reforma","Ks,0",4
"58","Mineral De La Reforma","Ks,2",4
"59","Mineral De La Reforma","Ks,4",4
"60","Mineral De La Reforma","Ks,6",5
"61","Mineral De La Reforma","Ks,8",4
"62","Mineral De La Reforma","Ks,10",4
"63","Mineral De La Reforma","Ks,12",4
"64","Mineral De La Reforma","Ks,14",4
"65","Mineral De La Reforma","Ks,16",4
"66","Mineral De La Reforma","Ks,18",4
"67","Mineral De La Reforma","Ks,20",4
"68","Mineral De La Reforma","Ks,22",4
"69","Mineral De La Reforma","Ks,24",5
"70","Mineral De La Reforma","Ks,26",5
"71","Pachuca","Ks,0",1
"72","Pachuca","Ks,2",2
"73","Pachuca","Ks,4",3
"74","Pachuca","Ks,6",3
"75","Pachuca","Ks,8",5
"76","Pachuca","Ks,10",5
"77","Pachuca","Ks,12",5
"78","Pachuca","Ks,14",5
"79","Pachuca","Ks,16",5
"80","Pachuca","Ks,18",5
"81","Pachuca","Ks,20",6
"82","Pachuca","Ks,22",6
"83","Pachuca","Ks,24",6
"84","Pachuca","Ks,26",6
"85","Tula De Allende","Ks,0",9
"86","Tula De Allende","Ks,2",6
"87","Tula De Allende","Ks,4",6
"88","Tula De Allende","Ks,6",6
"89","Tula De Allende","Ks,8",6
"90","Tula De Allende","Ks,10",6
"91","Tula De Allende","Ks,12",7
"92","Tula De Allende","Ks,14",7
"93","Tula De Allende","Ks,16",7
"94","Tula De Allende","Ks,18",7
"95","Tula De Allende","Ks,20",7
"96","Tula De Allende","Ks,22",7
"97","Tula De Allende","Ks,24",7
"98","Tula De Allende","Ks,26",7
"99","Atotonilco De Tula","Ks,0",8
"100","Atotonilco De Tula","Ks,2",7
"101","Atotonilco De Tula","Ks,4",8
"102","Atotonilco De Tula","Ks,6",8
"103","Atotonilco De Tula","Ks,8",9
"104","Atotonilco De Tula","Ks,10",8
"105","Atotonilco De Tula","Ks,12",9
"106","Atotonilco De Tula","Ks,14",9
"107","Atotonilco De Tula","Ks,16",9
"108","Atotonilco De Tula","Ks,18",9
"109","Atotonilco De Tula","Ks,20",9
"110","Atotonilco De Tula","Ks,22",8
"111","Atotonilco De Tula","Ks,24",8
"112","Atotonilco De Tula","Ks,26",8
"113","Tolcayuca","Ks,0",19
"114","Tolcayuca","Ks,2",14
"115","Tolcayuca","Ks,4",13
"116","Tolcayuca","Ks,6",12
"117","Tolcayuca","Ks,8",12
"118","Tolcayuca","Ks,10",9
"119","Tolcayuca","Ks,12",8
"120","Tolcayuca","Ks,14",8
"121","Tolcayuca","Ks,16",8
"122","Tolcayuca","Ks,18",8
"123","Tolcayuca","Ks,20",8
"124","Tolcayuca","Ks,22",9
"125","Tolcayuca","Ks,24",9
"126","Tolcayuca","Ks,26",9
"127","Tlahuelilpan","Ks,0",43
"128","Tlahuelilpan","Ks,2",10
"129","Tlahuelilpan","Ks,4",7
"130","Tlahuelilpan","Ks,6",7
"131","Tlahuelilpan","Ks,8",7
"132","Tlahuelilpan","Ks,10",10
"133","Tlahuelilpan","Ks,12",10
"134","Tlahuelilpan","Ks,14",10
"135","Tlahuelilpan","Ks,16",10
"136","Tlahuelilpan","Ks,18",10
"137","Tlahuelilpan","Ks,20",10
"138","Tlahuelilpan","Ks,22",10
"139","Tlahuelilpan","Ks,24",10
"140","Tlahuelilpan","Ks,26",10
"141","Lugo Guerrero","Ks,0",12
"142","Lugo Guerrero","Ks,2",13
"143","Lugo Guerrero","Ks,4",10
"144","Lugo Guerrero","Ks,6",10
"145","Lugo Guerrero","Ks,8",11
"146","Lugo Guerrero","Ks,10",11
"147","Lugo Guerrero","Ks,12",11
"148","Lugo Guerrero","Ks,14",11
"149","Lugo Guerrero","Ks,16",11
"150","Lugo Guerrero","Ks,18",11
"151","Lugo Guerrero","Ks,20",11
"152","Lugo Guerrero","Ks,22",11
"153","Lugo Guerrero","Ks,24",11
"154","Lugo Guerrero","Ks,26",11
"155","Nopala","Ks,0",59
"156","Nopala","Ks,2",11
"157","Nopala","Ks,4",9
"158","Nopala","Ks,6",9
"159","Nopala","Ks,8",10
"160","Nopala","Ks,10",12
"161","Nopala","Ks,12",12
"162","Nopala","Ks,14",12
"163","Nopala","Ks,16",12
"164","Nopala","Ks,18",12
"165","Nopala","Ks,20",12
"166","Nopala","Ks,22",12
"167","Nopala","Ks,24",12
"168","Nopala","Ks,26",12
"169","Tulancingo De Bravo","Ks,0",6
"170","Tulancingo De Bravo","Ks,2",9
"171","Tulancingo De Bravo","Ks,4",12
"172","Tulancingo De Bravo","Ks,6",13
"173","Tulancingo De Bravo","Ks,8",13
"174","Tulancingo De Bravo","Ks,10",13
"175","Tulancingo De Bravo","Ks,12",13
"176","Tulancingo De Bravo","Ks,14",13
"177","Tulancingo De Bravo","Ks,16",13
"178","Tulancingo De Bravo","Ks,18",13
"179","Tulancingo De Bravo","Ks,20",13
"180","Tulancingo De Bravo","Ks,22",13
"181","Tulancingo De Bravo","Ks,24",13
"182","Tulancingo De Bravo","Ks,26",13
"183","Singuilucan","Ks,0",26
"184","Singuilucan","Ks,2",24
"185","Singuilucan","Ks,4",19
"186","Singuilucan","Ks,6",17
"187","Singuilucan","Ks,8",15
"188","Singuilucan","Ks,10",14
"189","Singuilucan","Ks,12",14
"190","Singuilucan","Ks,14",14
"191","Singuilucan","Ks,16",14
"192","Singuilucan","Ks,18",14
"193","Singuilucan","Ks,20",14
"194","Singuilucan","Ks,22",14
"195","Singuilucan","Ks,24",14
"196","Singuilucan","Ks,26",14
"197","Huejutla","Ks,0",10
"198","Huejutla","Ks,2",12
"199","Huejutla","Ks,4",14
"200","Huejutla","Ks,6",14
"201","Huejutla","Ks,8",14
"202","Huejutla","Ks,10",15
"203","Huejutla","Ks,12",15
"204","Huejutla","Ks,14",15
"205","Huejutla","Ks,16",15
"206","Huejutla","Ks,18",15
"207","Huejutla","Ks,20",15
"208","Huejutla","Ks,22",15
"209","Huejutla","Ks,24",15
"210","Huejutla","Ks,26",15
"211","Apan","Ks,0",16
"212","Apan","Ks,2",15
"213","Apan","Ks,4",15
"214","Apan","Ks,6",16
"215","Apan","Ks,8",17
"216","Apan","Ks,10",16
"217","Apan","Ks,12",16
"218","Apan","Ks,14",16
"219","Apan","Ks,16",16
"220","Apan","Ks,18",16
"221","Apan","Ks,20",16
"222","Apan","Ks,22",16
"223","Apan","Ks,24",16
"224","Apan","Ks,26",16
"225","Acatlan","Ks,0",22
"226","Acatlan","Ks,2",21
"227","Acatlan","Ks,4",20
"228","Acatlan","Ks,6",19
"229","Acatlan","Ks,8",19
"230","Acatlan","Ks,10",19
"231","Acatlan","Ks,12",18
"232","Acatlan","Ks,14",18
"233","Acatlan","Ks,16",18
"234","Acatlan","Ks,18",18
"235","Acatlan","Ks,20",17
"236","Acatlan","Ks,22",17
"237","Acatlan","Ks,24",17
"238","Acatlan","Ks,26",17
"239","Emiliano Zapata","Ks,0",39
"240","Emiliano Zapata","Ks,2",22
"241","Emiliano Zapata","Ks,4",16
"242","Emiliano Zapata","Ks,6",15
"243","Emiliano Zapata","Ks,8",16
"244","Emiliano Zapata","Ks,10",17
"245","Emiliano Zapata","Ks,12",17
"246","Emiliano Zapata","Ks,14",17
"247","Emiliano Zapata","Ks,16",17
"248","Emiliano Zapata","Ks,18",17
"249","Emiliano Zapata","Ks,20",18
"250","Emiliano Zapata","Ks,22",18
"251","Emiliano Zapata","Ks,24",18
"252","Emiliano Zapata","Ks,26",18
"253","Metepec","Ks,0",20
"254","Metepec","Ks,2",18
"255","Metepec","Ks,4",17
"256","Metepec","Ks,6",18
"257","Metepec","Ks,8",18
"258","Metepec","Ks,10",18
"259","Metepec","Ks,12",19
"260","Metepec","Ks,14",19
"261","Metepec","Ks,16",19
"262","Metepec","Ks,18",19
"263","Metepec","Ks,20",19
"264","Metepec","Ks,22",19
"265","Metepec","Ks,24",19
"266","Metepec","Ks,26",19
"267","Alfajayucan","Ks,0",31
"268","Alfajayucan","Ks,2",16
"269","Alfajayucan","Ks,4",18
"270","Alfajayucan","Ks,6",20
"271","Alfajayucan","Ks,8",20
"272","Alfajayucan","Ks,10",21
"273","Alfajayucan","Ks,12",21
"274","Alfajayucan","Ks,14",21
"275","Alfajayucan","Ks,16",21
"276","Alfajayucan","Ks,18",21
"277","Alfajayucan","Ks,20",21
"278","Alfajayucan","Ks,22",20
"279","Alfajayucan","Ks,24",20
"280","Alfajayucan","Ks,26",20
"281","Actopan","Ks,0",11
"282","Actopan","Ks,2",17
"283","Actopan","Ks,4",22
"284","Actopan","Ks,6",21
"285","Actopan","Ks,8",21
"286","Actopan","Ks,10",20
"287","Actopan","Ks,12",20
"288","Actopan","Ks,14",20
"289","Actopan","Ks,16",20
"290","Actopan","Ks,18",20
"291","Actopan","Ks,20",20
"292","Actopan","Ks,22",21
"293","Actopan","Ks,24",21
"294","Actopan","Ks,26",21
"295","Acaxochitlan","Ks,0",24
"296","Acaxochitlan","Ks,2",27
"297","Acaxochitlan","Ks,4",26
"298","Acaxochitlan","Ks,6",25
"299","Acaxochitlan","Ks,8",24
"300","Acaxochitlan","Ks,10",22
"301","Acaxochitlan","Ks,12",22
"302","Acaxochitlan","Ks,14",22
"303","Acaxochitlan","Ks,16",22
"304","Acaxochitlan","Ks,18",22
"305","Acaxochitlan","Ks,20",22
"306","Acaxochitlan","Ks,22",22
"307","Acaxochitlan","Ks,24",22
"308","Acaxochitlan","Ks,26",22
"309","Chapantongo","Ks,0",72
"310","Chapantongo","Ks,2",20
"311","Chapantongo","Ks,4",23
"312","Chapantongo","Ks,6",23
"313","Chapantongo","Ks,8",25
"314","Chapantongo","Ks,10",25
"315","Chapantongo","Ks,12",24
"316","Chapantongo","Ks,14",24
"317","Chapantongo","Ks,16",25
"318","Chapantongo","Ks,18",25
"319","Chapantongo","Ks,20",25
"320","Chapantongo","Ks,22",24
"321","Chapantongo","Ks,24",23
"322","Chapantongo","Ks,26",23
"323","Cuautepec","Ks,0",15
"324","Cuautepec","Ks,2",29
"325","Cuautepec","Ks,4",29
"326","Cuautepec","Ks,6",28
"327","Cuautepec","Ks,8",27
"328","Cuautepec","Ks,10",26
"329","Cuautepec","Ks,12",26
"330","Cuautepec","Ks,14",25
"331","Cuautepec","Ks,16",24
"332","Cuautepec","Ks,18",24
"333","Cuautepec","Ks,20",24
"334","Cuautepec","Ks,22",23
"335","Cuautepec","Ks,24",24
"336","Cuautepec","Ks,26",24
"337","Huichapan","Ks,0",13
"338","Huichapan","Ks,2",25
"339","Huichapan","Ks,4",25
"340","Huichapan","Ks,6",24
"341","Huichapan","Ks,8",23
"342","Huichapan","Ks,10",23
"343","Huichapan","Ks,12",23
"344","Huichapan","Ks,14",23
"345","Huichapan","Ks,16",23
"346","Huichapan","Ks,18",23
"347","Huichapan","Ks,20",23
"348","Huichapan","Ks,22",25
"349","Huichapan","Ks,24",25
"350","Huichapan","Ks,26",25
"351","Mixquiahuala","Ks,0",14
"352","Mixquiahuala","Ks,2",26
"353","Mixquiahuala","Ks,4",27
"354","Mixquiahuala","Ks,6",27
"355","Mixquiahuala","Ks,8",26
"356","Mixquiahuala","Ks,10",27
"357","Mixquiahuala","Ks,12",27
"358","Mixquiahuala","Ks,14",27
"359","Mixquiahuala","Ks,16",27
"360","Mixquiahuala","Ks,18",26
"361","Mixquiahuala","Ks,20",26
"362","Mixquiahuala","Ks,22",26
"363","Mixquiahuala","Ks,24",26
"364","Mixquiahuala","Ks,26",26
"365","Tlanalapa","Ks,0",44
"366","Tlanalapa","Ks,2",19
"367","Tlanalapa","Ks,4",21
"368","Tlanalapa","Ks,6",22
"369","Tlanalapa","Ks,8",22
"370","Tlanalapa","Ks,10",24
"371","Tlanalapa","Ks,12",25
"372","Tlanalapa","Ks,14",26
"373","Tlanalapa","Ks,16",26
"374","Tlanalapa","Ks,18",27
"375","Tlanalapa","Ks,20",27
"376","Tlanalapa","Ks,22",27
"377","Tlanalapa","Ks,24",27
"378","Tlanalapa","Ks,26",27
"379","Villa De Tezontepec","Ks,0",42
"380","Villa De Tezontepec","Ks,2",23
"381","Villa De Tezontepec","Ks,4",24
"382","Villa De Tezontepec","Ks,6",26
"383","Villa De Tezontepec","Ks,8",28
"384","Villa De Tezontepec","Ks,10",28
"385","Villa De Tezontepec","Ks,12",28
"386","Villa De Tezontepec","Ks,14",28
"387","Villa De Tezontepec","Ks,16",28
"388","Villa De Tezontepec","Ks,18",28
"389","Villa De Tezontepec","Ks,20",28
"390","Villa De Tezontepec","Ks,22",28
"391","Villa De Tezontepec","Ks,24",28
"392","Villa De Tezontepec","Ks,26",28
"393","San Agustin Tlaxiaca","Ks,0",37
"394","San Agustin Tlaxiaca","Ks,2",28
"395","San Agustin Tlaxiaca","Ks,4",28
"396","San Agustin Tlaxiaca","Ks,6",29
"397","San Agustin Tlaxiaca","Ks,8",29
"398","San Agustin Tlaxiaca","Ks,10",29
"399","San Agustin Tlaxiaca","Ks,12",29
"400","San Agustin Tlaxiaca","Ks,14",29
"401","San Agustin Tlaxiaca","Ks,16",29
"402","San Agustin Tlaxiaca","Ks,18",29
"403","San Agustin Tlaxiaca","Ks,20",29
"404","San Agustin Tlaxiaca","Ks,22",29
"405","San Agustin Tlaxiaca","Ks,24",29
"406","San Agustin Tlaxiaca","Ks,26",29
"407","Zapotlan","Ks,0",38
"408","Zapotlan","Ks,2",37
"409","Zapotlan","Ks,4",33
"410","Zapotlan","Ks,6",31
"411","Zapotlan","Ks,8",31
"412","Zapotlan","Ks,10",31
"413","Zapotlan","Ks,12",31
"414","Zapotlan","Ks,14",31
"415","Zapotlan","Ks,16",31
"416","Zapotlan","Ks,18",30
"417","Zapotlan","Ks,20",30
"418","Zapotlan","Ks,22",30
"419","Zapotlan","Ks,24",30
"420","Zapotlan","Ks,26",30
"421","Epazoyucan","Ks,0",67
"422","Epazoyucan","Ks,2",33
"423","Epazoyucan","Ks,4",30
"424","Epazoyucan","Ks,6",30
"425","Epazoyucan","Ks,8",30
"426","Epazoyucan","Ks,10",30
"427","Epazoyucan","Ks,12",30
"428","Epazoyucan","Ks,14",30
"429","Epazoyucan","Ks,16",30
"430","Epazoyucan","Ks,18",31
"431","Epazoyucan","Ks,20",31
"432","Epazoyucan","Ks,22",31
"433","Epazoyucan","Ks,24",31
"434","Epazoyucan","Ks,26",31
"435","San Salvador","Ks,0",25
"436","San Salvador","Ks,2",34
"437","San Salvador","Ks,4",36
"438","San Salvador","Ks,6",35
"439","San Salvador","Ks,8",35
"440","San Salvador","Ks,10",35
"441","San Salvador","Ks,12",35
"442","San Salvador","Ks,14",34
"443","San Salvador","Ks,16",33
"444","San Salvador","Ks,18",33
"445","San Salvador","Ks,20",32
"446","San Salvador","Ks,22",32
"447","San Salvador","Ks,24",32
"448","San Salvador","Ks,26",32
"449","Cardonal","Ks,0",56
"450","Cardonal","Ks,2",35
"451","Cardonal","Ks,4",35
"452","Cardonal","Ks,6",34
"453","Cardonal","Ks,8",34
"454","Cardonal","Ks,10",34
"455","Cardonal","Ks,12",34
"456","Cardonal","Ks,14",35
"457","Cardonal","Ks,16",35
"458","Cardonal","Ks,18",34
"459","Cardonal","Ks,20",34
"460","Cardonal","Ks,22",34
"461","Cardonal","Ks,24",33
"462","Cardonal","Ks,26",33
"463","Zempoala","Ks,0",21
"464","Zempoala","Ks,2",32
"465","Zempoala","Ks,4",32
"466","Zempoala","Ks,6",33
"467","Zempoala","Ks,8",32
"468","Zempoala","Ks,10",32
"469","Zempoala","Ks,12",32
"470","Zempoala","Ks,14",32
"471","Zempoala","Ks,16",32
"472","Zempoala","Ks,18",32
"473","Zempoala","Ks,20",33
"474","Zempoala","Ks,22",33
"475","Zempoala","Ks,24",34
"476","Zempoala","Ks,26",34
"477","Progreso","Ks,0",23
"478","Progreso","Ks,2",30
"479","Progreso","Ks,4",31
"480","Progreso","Ks,6",32
"481","Progreso","Ks,8",33
"482","Progreso","Ks,10",33
"483","Progreso","Ks,12",33
"484","Progreso","Ks,14",33
"485","Progreso","Ks,16",34
"486","Progreso","Ks,18",35
"487","Progreso","Ks,20",35
"488","Progreso","Ks,22",35
"489","Progreso","Ks,24",35
"490","Progreso","Ks,26",35
"491","Zacualtipan","Ks,0",54
"492","Zacualtipan","Ks,2",31
"493","Zacualtipan","Ks,4",34
"494","Zacualtipan","Ks,6",36
"495","Zacualtipan","Ks,8",36
"496","Zacualtipan","Ks,10",36
"497","Zacualtipan","Ks,12",36
"498","Zacualtipan","Ks,14",36
"499","Zacualtipan","Ks,16",36
"500","Zacualtipan","Ks,18",36
"501","Zacualtipan","Ks,20",36
"502","Zacualtipan","Ks,22",36
"503","Zacualtipan","Ks,24",36
"504","Zacualtipan","Ks,26",36
"505","Tezontepec De Aldama","Ks,0",27
"506","Tezontepec De Aldama","Ks,2",48
"507","Tezontepec De Aldama","Ks,4",43
"508","Tezontepec De Aldama","Ks,6",40
"509","Tezontepec De Aldama","Ks,8",40
"510","Tezontepec De Aldama","Ks,10",39
"511","Tezontepec De Aldama","Ks,12",39
"512","Tezontepec De Aldama","Ks,14",38
"513","Tezontepec De Aldama","Ks,16",38
"514","Tezontepec De Aldama","Ks,18",37
"515","Tezontepec De Aldama","Ks,20",37
"516","Tezontepec De Aldama","Ks,22",37
"517","Tezontepec De Aldama","Ks,24",37
"518","Tezontepec De Aldama","Ks,26",37
"519","Tlaxcoapan","Ks,0",29
"520","Tlaxcoapan","Ks,2",38
"521","Tlaxcoapan","Ks,4",37
"522","Tlaxcoapan","Ks,6",38
"523","Tlaxcoapan","Ks,8",38
"524","Tlaxcoapan","Ks,10",37
"525","Tlaxcoapan","Ks,12",37
"526","Tlaxcoapan","Ks,14",37
"527","Tlaxcoapan","Ks,16",37
"528","Tlaxcoapan","Ks,18",38
"529","Tlaxcoapan","Ks,20",38
"530","Tlaxcoapan","Ks,22",38
"531","Tlaxcoapan","Ks,24",38
"532","Tlaxcoapan","Ks,26",38
"533","Mineral Del Monte","Ks,0",82
"534","Mineral Del Monte","Ks,2",43
"535","Mineral Del Monte","Ks,4",39
"536","Mineral Del Monte","Ks,6",37
"537","Mineral Del Monte","Ks,8",37
"538","Mineral Del Monte","Ks,10",38
"539","Mineral Del Monte","Ks,12",38
"540","Mineral Del Monte","Ks,14",39
"541","Mineral Del Monte","Ks,16",39
"542","Mineral Del Monte","Ks,18",39
"543","Mineral Del Monte","Ks,20",39
"544","Mineral Del Monte","Ks,22",39
"545","Mineral Del Monte","Ks,24",39
"546","Mineral Del Monte","Ks,26",39
"547","Almoloya","Ks,0",32
"548","Almoloya","Ks,2",36
"549","Almoloya","Ks,4",38
"550","Almoloya","Ks,6",39
"551","Almoloya","Ks,8",39
"552","Almoloya","Ks,10",40
"553","Almoloya","Ks,12",40
"554","Almoloya","Ks,14",40
"555","Almoloya","Ks,16",40
"556","Almoloya","Ks,18",40
"557","Almoloya","Ks,20",40
"558","Almoloya","Ks,22",40
"559","Almoloya","Ks,24",40
"560","Almoloya","Ks,26",40
"561","Ixmiquilpan","Ks,0",17
"562","Ixmiquilpan","Ks,2",39
"563","Ixmiquilpan","Ks,4",41
"564","Ixmiquilpan","Ks,6",41
"565","Ixmiquilpan","Ks,8",41
"566","Ixmiquilpan","Ks,10",41
"567","Ixmiquilpan","Ks,12",41
"568","Ixmiquilpan","Ks,14",41
"569","Ixmiquilpan","Ks,16",41
